,eng,hindi,lexicon
95,brighten,चमकाने,positive
96,brilliance,ब्रिलिएंस,positive
97,brilliant,चमकदार,positive
98,brisk,तेज़ी,positive
99,brotherly,भाई,positive
100,calm,शांति,positive
101,capability,क्षमता,positive
102,capable,योग्य,positive
103,captivating,मनोरम,positive
104,carefree,तनावमुक्त,positive
105,celebrate,का,positive
106,celebrated,मनाया,positive
107,celebration,जश्न,positive
108,champ,विजेता,positive
109,champion,चैंपियन,positive
110,charisma,आकर्षण,positive
111,charismatic,करिश्माई,positive
112,charitable,धर्मार्थ,positive
113,charm,आकर्षण,positive
114,charming,आकर्षक,positive
115,cheaper,सस्ता,positive
116,cheapest,सस्ता,positive
117,cheer,खुश,positive
118,cheerful,खूबसूरत,positive
119,chic,फैशनेबल,positive
120,clarity,स्पष्टता,positive
121,classic,क्लासिक,positive
122,classy,सर्वोत्कृष्ट,positive
123,clean,साफ,positive
124,cleaner,क्लीनर,positive
125,cleanliness,स्वच्छता,positive
126,clear,स्पष्ट,positive
127,cleared,मिट,positive
128,clearly,स्पष्ट,positive
129,clever,चालाक,positive
130,colorful,रंगीन,positive
131,comfort,आराम,positive
132,comfortable,आरामदायक,positive
133,comfortably,आराम,positive
134,comfy,आरामदायक,positive
135,commitment,वचनबद्धता,positive
136,compact,कॉम्पैक्ट,positive
137,compassion,करुणा,positive
138,compassionate,दयावान,positive
139,compatible,अनुकूल,positive
140,competitive,प्रतिस्पर्धी,positive
141,complement,पूरक,positive
142,complementary,पूरक,positive
143,complements,पूरक,positive
144,compliant,अनुरूप,positive
145,compliment,प्रशंसा,positive
146,complimentary,निशुल्क,positive
147,comprehensive,व्यापक,positive
148,concise,संक्षिप्त,positive
149,confidence,आत्मविश्वास,positive
150,congratulation,बधाई,positive
151,congratulations,बधाई,positive
152,consistent,संगत,positive
153,consistently,लगातार,positive
154,constructive,रचनात्मक,positive
155,continuity,कंटीन्यूटी,positive
156,contribution,योगदान,positive
157,convenience,सुविधा,positive
158,convenient,सुविधाजनक,positive
159,convincing,ठोस,positive
160,cool,कूल,positive
161,coolest,ठंडा,positive
162,cooperative,अधिक,positive
163,cornerstone,आधारशिला,positive
164,correct,सही,positive
165,correctly,सही,positive
166,courage,साहस,positive
167,courageous,साहसी,positive
168,courteous,विनम्र,positive
169,covenant,प्रण,positive
170,cozy,आरामदायक,positive
171,creative,रचनात्मक,positive
172,credible,प्रामाणिक,positive
173,crisp,कड़क,positive
174,cure,इलाज,positive
175,cute,प्यारा,positive
176,daring,साहसी,positive
177,darling,डार्लिंग,positive
178,dawn,सूर्योदय,positive
179,dazzle,चमक,positive
180,dazzling,चमकदार,positive
181,decent,सभ्य,positive
182,decisive,निर्णायक,positive
183,dedicated,समर्पित,positive
184,defeat,सबसे,positive
185,defeated,जानवर,positive
186,defeating,को,positive
187,delicate,कोमलता,positive
188,delicious,स्वादिष्ट,positive
189,delight,डिलाईट,positive
190,dependable,विश्वसनीय,positive
191,desirable,वांछनीय,positive
192,desiring,की,positive
193,destiny,भाग्य,positive
194,dignity,इज्जत,positive
195,distinguished,प्रतिष्ठित,positive
196,divine,डीवाइन,positive
197,dominated,छाई,positive
198,durable,टिकाऊ,positive
199,dynamic,गतिशील,positive
200,eager,उत्सुक,positive
201,eagerly,बेसब्री,positive
202,ease,सरलता,positive
203,easier,इतना,positive
204,easiest,सबसे,positive
205,easing,बैंक,positive
206,easy,आसान,positive
207,economical,किफायती,positive
208,educated,शिक्षित,positive
209,effective,प्रभावी,positive
210,effectively,से,positive
211,effectiveness,प्रभावशीलता,positive
212,efficient,कुशल,positive
213,efficiently,इनके,positive
214,effusion,बहाव,positive
215,elan,जोश,positive
216,elegance,भव्यता,positive
217,elegant,सुंदर,positive
218,elevate,भा,positive
219,elite,इलीट,positive
220,eminent,प्रख्यात,positive
221,empower,को,positive
222,empowerment,अधिकारिता,positive
223,enchanting,करामाती,positive
224,encourage,प्रोत्साहित,positive
225,encouragement,प्रोत्साहित,positive
226,encouraging,उत्साहजनक,positive
227,endorse,समर्थन,positive
228,endorsed,समर्थित,positive
229,endorsement,परांकन,positive
230,engaging,आकर्षक,positive
231,enhance,को,positive
232,enhanced,संवर्धित,positive
233,enhancement,वृद्धि,positive
234,enhances,रंग,positive
235,enjoy,का,positive
236,enjoyable,आनंददायक,positive
237,enjoyed,मज़ा,positive
238,enjoying,का,positive
239,enjoyment,गुल,positive
240,enlightenment,आत्मज्ञान,positive
241,enough,पर्याप्त,positive
242,enrich,वाले,positive
243,entertain,मनोरंजन,positive
244,entertaining,मनोरंजक,positive
245,enthusiast,उत्साही,positive
246,enthusiastic,उत्साही,positive
247,entice,प्रलोभन,positive
248,enticing,की,positive
249,envious,सम्मोहक,negative
250,envy,ईर्ष्या,positive
251,ethical,नैतिक,positive
252,everlasting,सदाबहार,positive
253,exceed,पार,positive
254,exceeded,पार,positive
255,exceeding,से,positive
256,exceeds,से,positive
257,excel,एक्सेल,positive
258,excellence,श्रेष्ठता,positive
259,excellent,उत्कृष्ट,positive
260,excellently,विशेष,positive
261,exceptional,असाधारण,positive
262,exceptionally,विशि‍ष्ट,positive
263,excited,उत्तेजित,positive
264,excitement,रोमांच,positive
265,exciting,रोमांचक,positive
266,exquisite,उत्कृष्ट,positive
267,extraordinary,असाधारण,positive
268,eye-catching,मनमोहक,positive
269,fabulous,शानदार,positive
270,fair,मेला,positive
271,fairly,काफी,positive
272,fairness,निष्पक्षता,positive
273,faith,विश्वास,positive
274,faithful,वफादार,positive
275,faithfully,विश्वासपात्र,positive
276,fame,फेम,positive
277,famous,प्रसिद्ध,positive
278,fancier,अधिक,positive
279,fancy,फैंसी,positive
280,fans,प्रशंसकों,positive
281,fantastic,शानदार,positive
282,fascinate,मोहित,positive
283,fascinating,दिलचस्प,positive
284,fashionable,फैशनेबल,positive
285,fast,तेज,positive
286,faster,तेज,positive
287,fastest,तेज,positive
288,fav,मनपसंद,positive
289,fave,पक्ष,positive
290,favor,अहसान,positive
291,favorable,अनुकूल,positive
292,favorite,पसंदीदा,positive
293,favour,पक्ष,positive
294,fearless,दंबगों,positive
295,feat,फीट,positive
296,feisty,साहसी,positive
297,fertile,फ़र्टाइल,positive
298,festive,जलवा,positive
299,fidelity,निष्ठा,positive
300,fiery,तेजस्वी,positive
301,fine,ठीक,positive
302,finely,से,positive
303,finer,बेहतर,positive
304,finest,बेहतरीन,positive
305,flattering,प्रशंसनीय,positive
306,flawless,फ्लॉलेस,positive
307,flexibility,लचीलेपन,positive
308,flexible,लचीला,positive
309,fluent,निपुण,positive
310,flutter,स्पंदन,positive
311,fond,शौकीन,positive
312,foremost,महत्वपूर्ण,positive
313,fortunate,भाग्यशाली,positive
314,fortunately,सौभाग्य,positive
315,fortune,भाग्य,positive
316,free,नि,positive
317,freedom,स्वतंत्रता,positive
318,fresh,ताजा,positive
319,friendly,अनुकूल,positive
320,fulfillment,पूर्ति,positive
321,fun,मजेदार,positive
322,futuristic,भविष्यउन्मुखी,positive
323,gain,बढ़ना,positive
324,gained,कर,positive
325,gains,मजबूत,positive
326,galore,प्रचुर,positive
327,gem,रत्न,positive
328,gems,रत्न,positive
329,generous,उदार,positive
330,genius,प्रतिभा,positive
331,gentle,जेंटल,positive
332,genuine,असली,positive
333,gifted,प्रतिभाशाली,positive
334,glad,खुशी,positive
335,glamorous,आपके,positive
336,glitter,चमकीली,positive
337,glitz,तड़क,positive
338,glorify,को,positive
339,glory,ग्लोरी,positive
340,glow,चमक,positive
341,glowing,चमकना,positive
342,godsend,का,positive
343,gold,सोना,positive
344,golden,गोल्डन,positive
345,good,अच्छा,positive
346,goodness,अच्छाई,positive
347,gorgeous,खूबसूरत,positive
348,grace,ग्रेस,positive
349,graceful,गरीमामय,positive
350,gracious,विनीत,positive
351,grand,ग्रैंड,positive
352,grateful,आभारी,positive
353,gratifying,संतुष्टिदायक,positive
354,gratitude,नम,positive
355,great,महान,positive
356,greatest,महान,positive
357,greatness,महानता,positive
358,grin,मुसकुराहट,positive
359,groundbreaking,अभूतपूर्व,positive
360,guarantee,गारंटी,positive
361,guidance,मार्गदर्शन,positive
362,gusto,जोश,positive
363,hail,जय,positive
364,hallmark,प्रमाण,positive
365,handsome,सुंदर,positive
366,handy,सुलभ,positive
367,happier,खुश,positive
368,happily,खुशी,positive
369,happiness,खुशी,positive
370,happy,खुश,positive
371,hardy,पीछे,positive
372,harmless,हानिरहित,positive
373,harmony,मेल,positive
374,heal,चंगा,positive
375,healthy,स्वस्थ,positive
376,heartwarming,दिली,positive
377,heaven,स्वर्ग,positive
378,heavenly,अलौकिक,positive
379,helped,कुछ,positive
380,helpful,सहायक,positive
381,helping,मदद,positive
382,hero,हीरो,positive
383,heroine,हीरोइन,positive
384,hilarious,प्रफुल्लित,positive
385,holy,पवित्र,positive
386,homage,जलसा,positive
387,honest,ईमानदार,positive
388,honesty,ईमानदारी,positive
389,honor,सम्मान,positive
390,honorable,सम्मानित,positive
391,honored,सम्मानित,positive
392,hooray,हुर्रे,positive
393,hopeful,अच्छा,positive
394,hot,गर्म,positive
395,hottest,हॉटैस्ट,positive
396,hug,आलिंगन,positive
397,humane,मानव,positive
398,humble,विनम्र,positive
399,humor,हास्य,positive
400,ideal,आदर्श,positive
401,ideally,आदर्श,positive
402,idol,आइडल,positive
403,imaginative,इमेजनेटिव,positive
404,immaculate,त्रुटिहीन,positive
405,immense,विशाल,positive
406,important,महत्वपूर्ण,positive
407,impress,प्रभावित,positive
408,impressed,प्रभावित,positive
409,impressive,प्रभावशील,positive
410,improve,में,positive
411,improved,सुधार,positive
412,improvement,सुधार,positive
413,improvements,सुधार,positive
414,improves,शारीरिक,positive
415,incredible,अविश्वसनीय,positive
416,incredibly,अविश्वसनीय,positive
417,inexpensive,सस्ती,positive
418,infallible,अचूक,positive
419,influential,प्रभावशाली,positive
420,innovation,नवाचार,positive
421,innovative,नवीन,positive
422,insightful,पुरे,positive
423,inspiration,प्रेरणा,positive
424,inspirational,प्रेरणादायक,positive
425,inspire,प्रेरित,positive
426,inspiring,प्रेरक,positive
427,instantly,तुरन्त,positive
428,integral,एकीकृत,positive
429,integrated,एकीकृत,positive
430,intelligence,बुद्धि,positive
431,intelligent,बुद्धिमान,positive
432,interesting,दिलचस्प,positive
433,interests,हितों,positive
434,intimacy,अंतरंगता,positive
435,intimate,इंटीमेट,positive
436,intricate,बारीक,positive
437,intriguing,पेचीदा,positive
438,intuitive,मज़ेदार,positive
439,invincible,अजेय,positive
440,irresistible,प्रबल,positive
441,jolly,जॉली,positive
442,joy,आनन्द,positive
443,keen,उतावला,positive
444,kindly,कृपया,positive
445,kindness,दया,positive
446,knowledgeable,ज्ञान,positive
447,kudos,तारीफ,positive
448,lawful,विधिमान्य,positive
449,lead,नेतृत्व,positive
450,leading,प्रमुख,positive
451,leads,आगे,positive
452,lean,दुबला,positive
453,led,श्रेष्ठ,positive
454,legendary,पौराणिक,positive
455,leverage,लाभ,positive
456,liberate,पाप,positive
457,liberty,लिबर्टी,positive
458,lighter,हल्का,positive
459,like,की,positive
460,liked,पसंद,positive
461,likes,पसंद,positive
462,liking,पसंद,positive
463,lively,जीवंत,positive
464,logical,तार्किक,positive
465,love,प्यार,positive
466,loved,प्यार,positive
467,lovely,प्यारा,positive
468,lover,प्रेमी,positive
469,loves,प्यार,positive
470,loving,प्यार,positive
471,loyal,वफादार,positive
472,loyalty,वफादारी,positive
473,lucid,स्पष्ट,positive
474,luck,भाग्य,positive
475,lucky,भाग्यशाली,positive
476,luminous,चमकदार,positive
477,lush,रसीला,positive
478,luster,आभा,positive
479,luxury,लग्ज़री,positive
480,magic,जादू,positive
481,magical,जादुई,positive
482,magnificent,शानदार,positive
483,majestic,आलीशान,positive
484,marvel,अचंभा,positive
485,marvellous,अद्भुत,positive
486,marvelous,लजीज,positive
487,master,मास्टर,positive
488,masterpiece,मास्टरपीस,positive
489,masters,स्वामी,positive
490,mature,परिपक्व,positive
491,maturity,परिपक्वता,positive
492,memorable,यादगार,positive
493,merciful,दयालु,positive
494,mercy,दया,positive
495,merit,शिक्षक,positive
496,merry,मैरी,positive
497,mesmerizing,मन,positive
498,meticulous,सूक्ष्म,positive
499,mighty,पराक्रमी,positive
500,mind-blowing,जो,positive
501,miracle,चमत्कार,positive
502,miracles,चमत्कारों,positive
503,miraculous,तिलस्मी,positive
504,modern,आधुनिक,positive
505,modesty,इस,positive
506,monumental,यादगार,positive
507,morality,नैतिकता,positive
508,motivated,प्रेरित,positive
509,neat,साफ,positive
510,neatly,अच्छे,positive
511,nice,अच्छा,positive
512,nicely,अच्छी,positive
513,noble,नोबल,positive
514,noteworthy,उल्लेखनीय,positive
515,oasis,ओएसिस,positive
516,obsession,जूनून,positive
517,openly,का,positive
518,optimal,इष्टतम,positive
519,optimism,आशावाद,positive
520,optimistic,आशावादी,positive
521,orderly,व्यवस्थित,positive
522,outdone,ने,positive
523,outperform,सोकर,positive
524,outstanding,बकाया,positive
525,ovation,ओवेशन,positive
526,painless,दर्दरहित,positive
527,paradise,स्वर्ग,positive
528,pardon,माफी,positive
529,passion,जुनून,positive
530,passionate,जुनूनी,positive
531,patience,धैर्य,positive
532,patient,रोगी,positive
533,patriot,देशभक्ति,positive
534,peace,शांति,positive
535,peaceful,शांतिपूर्ण,positive
536,peach,आड़ू,positive
537,pep,उत्साहवर्धक,positive
538,peppy,जोशीले,positive
539,perfect,सही,positive
540,perfection,से,positive
541,perfectly,सही,positive
542,personalized,निजीकृत,positive
543,phenomenal,अद्भुत,positive
544,piety,पुण्यशीलता,positive
545,playful,चंचल,positive
546,pleasant,सुखद,positive
547,pleasantly,सुख,positive
548,pleased,खुश,positive
549,pleasure,खुशी,positive
550,plush,हमेशा,positive
551,poise,संतुलन,positive
552,polished,पॉलिश्ड,positive
553,polite,विनम्र,positive
554,popular,लोकप्रिय,positive
555,portable,पोर्टेबल,positive
556,posh,बढि़या,positive
557,positive,सकारात्मक,positive
558,positively,सकारात्मक,positive
559,powerful,शक्तिशाली,positive
560,praise,आरती,positive
561,precious,कीमती,positive
562,precise,सटीक,positive
563,precisely,ठीक,positive
564,prefer,क्या,positive
565,preferable,बेहतर,positive
566,prefers,हम,positive
567,premier,प्रीमियर,positive
568,prestigious,प्रतिष्ठित,positive
569,pretty,सुंदर,positive
570,priceless,अमूल्य,positive
571,pride,गर्व,positive
572,privilege,सौभाग्य,positive
573,prize,पुरस्कार,positive
574,productive,उत्पादक,positive
575,proficient,कुशल,positive
576,profoundly,पूरी,positive
577,progress,प्रगति,positive
578,progressive,प्रगतिशील,positive
579,prominent,प्रमुख,positive
580,promise,वादा,positive
581,promised,वादा,positive
582,promises,वादे,positive
583,promoter,प्रमोटर,positive
584,prompt,त्वरित,positive
585,promptly,तुरंत,positive
586,proper,उचित,positive
587,properly,सही,positive
588,pros,प्रॉस,positive
589,prosper,समृद्ध,positive
590,prosperity,समृद्धि,positive
591,prosperous,खुशहाल,positive
592,protect,रक्षा,positive
593,protection,सुरक्षा,positive
594,protective,सुरक्षात्मक,positive
595,proud,गर्व,positive
596,proven,सिद्ध,positive
597,proves,साबित,positive
598,punctual,पाबंदी,positive
599,pure,शुद्ध,positive
600,qualified,सुयोग्य,positive
601,qualify,अर्हता,positive
602,quiet,शांत,positive
603,radiance,लाता,positive
604,radiant,चमकीला,positive
605,rapid,तेज,positive
606,rational,तर्कसंगत,positive
607,readable,पठनीय,positive
608,readily,आसानी,positive
609,ready,तैयार,positive
610,realistic,वास्तविक,positive
611,reasonable,उचित,positive
612,reasonably,उचित,positive
613,reclaim,प्राप्ति,positive
614,recomend,सुझाव,positive
615,recommend,सिफारिश,positive
616,recommendation,सिफारिश,positive
617,recommendations,सुझाव,positive
618,recommended,अनुशंसित,positive
619,reconcile,सामंजस्य,positive
620,reconciliation,सुलह,positive
621,recover,लगे,positive
622,recovery,रिकवरी,positive
623,rectify,सुधारने,positive
624,rectifying,का,positive
625,redeem,रीडीम,positive
626,redemption,मुक्ति,positive
627,refine,परिष्कृत,positive
628,reform,सुधार,positive
629,reforms,सुधार,positive
630,refresh,ताजा,positive
631,refreshed,रिफ्रेश,positive
632,refreshing,ताज़ी,positive
633,refund,वापसी,positive
634,refunded,वापिस,positive
635,regal,राजसी,positive
636,regard,संबंध,positive
637,rejuvenated,जोशपूर्ण,positive
638,relaxed,आराम,positive
639,reliable,विश्वसनीय,positive
640,relief,राहत,positive
641,remarkable,उल्लेखनीय,positive
642,remedy,उपाय,positive
643,renaissance,अ,positive
644,renowned,प्रसिद्ध,positive
645,replaceable,बदले,positive
646,reputation,प्रतिष्ठा,positive
647,respect,सम्मान,positive
648,respectful,सम्मानित,positive
649,responsibly,जिम्मेदारी,positive
650,responsive,जवाबदेह,positive
651,restored,सुधारा,positive
652,restructuring,पुनर्गठन,positive
653,revel,आनंद,positive
654,revelation,रहस्योद्घाटन,positive
655,revival,पुनरुद्धार,positive
656,revive,पुनर्जीवित,positive
657,revolutionary,क्रांतिकारी,positive
658,reward,इनाम,positive
659,rewarding,पुण्यमय,positive
660,rich,अमीर,positive
661,richness,होंगी,positive
662,right,सही,positive
663,righteousness,लक्ष्य,positive
664,rightfully,सही,positive
665,robust,मजबूत,positive
666,rockstar,रॉकस्टार,positive
667,romantic,रोमांटिक,positive
668,safe,सुरक्षित,positive
669,safely,सुरक्षित,positive
670,saint,संत,positive
671,salute,सलाम,positive
672,sane,मत,positive
673,satisfactory,संतोषजनक,positive
674,satisfied,संतुष्ट,positive
675,satisfies,अपनी,positive
676,satisfying,संतोषजनक,positive
677,saver,सेवर,positive
678,savings,बचत,positive
679,savior,उद्धारकर्ता,positive
680,savvy,आज,positive
681,scenic,सुंदर,positive
682,seamless,अखंड,positive
683,secure,सुरक्षित,positive
684,securely,सुरक्षित,positive
685,selective,चयनात्मक,positive
686,sensation,सनसनी,positive
687,sensational,सनसनीखेज,positive
688,sensible,समझदार,positive
689,sensitive,संवेदनशील,positive
690,sexy,सेक्सी,positive
691,sharp,कोना,positive
692,sharper,के,positive
693,shine,चमक,positive
694,shiny,चमकीले,positive
695,significant,महत्वपूर्ण,positive
696,silent,मौन,positive
697,simpler,सरल,positive
698,simplest,सरल,positive
699,simplified,सरलीकृत,positive
700,simplifies,को,positive
701,sincere,हार्दिक,positive
702,sincerely,दिल,positive
703,skill,कौशल,positive
704,skilled,कुशल,positive
705,sleek,संकरे,positive
706,slick,स्लिक,positive
707,smart,स्मार्ट,positive
708,smarter,ज्यादा,positive
709,smartly,सुंदर,positive
710,smile,मुस्कुराओ,positive
711,smiles,मुस्कराती,positive
712,smiling,मुस्कुराते,positive
713,smooth,चिकना,positive
714,smoothly,सुचारु,positive
715,soft,नरम,positive
716,solace,सोलेस,positive
717,solid,ठोस,positive
718,soothe,को,positive
719,sophisticated,सोफिस्टिकेटिड,positive
720,spacious,बहुत,positive
721,sparkle,द्वारा,positive
722,sparkling,स्पार्कलिंग,positive
723,spectacular,शानदार,positive
724,speedy,तेज,positive
725,spiritual,आध्यात्मिक,positive
726,spontaneous,सहज,positive
727,sporty,स्पोरटी,positive
728,stability,स्थिरता,positive
729,stabilize,स्थिर,positive
730,stable,स्थिर,positive
731,stainless,स्टेनलेस,positive
732,stately,आलीशान,positive
733,steadfast,स्टेडफास्ट,positive
734,steady,स्थिर,positive
735,stellar,तारकीय,positive
736,striking,आकर्षक,positive
737,striving,प्रयास,positive
738,strong,मजबूत,positive
739,stronger,मजबूत,positive
740,strongest,सबसे,positive
741,stunned,दंग,positive
742,stunning,आश्चर्यजनक,positive
743,stunningly,के,positive
744,sturdy,मज़बूत,positive
745,stylish,स्टाइलिश,positive
746,suave,वाले,positive
747,sublime,का,positive
748,succeed,सफल,positive
749,succeeded,सफल,positive
750,succes,सफलता,positive
751,success,सफलता,positive
752,successful,सफल,positive
753,successfully,सफलतापूर्वक,positive
754,sufficient,पर्याप्त,positive
755,sufficiently,पर्याप्त,positive
756,suitable,उपयुक्त,positive
757,super,सुपर,positive
758,superb,शानदार,positive
759,superior,बेहतर,positive
760,supple,नाजुक,positive
761,support,समर्थन,positive
762,supported,समर्थित,positive
763,supporter,सपोर्टर,positive
764,supporting,समर्थन,positive
765,supportive,सहयोगी,positive
766,supports,का,positive
767,supremacy,वर्चस्व,positive
768,supreme,सर्वोच्च,positive
769,survival,बचना,positive
770,survivor,उत्तरजीवी,positive
771,sustainability,स्थिरता,positive
772,sustainable,सतत,positive
773,swanky,शानदार,positive
774,sweeping,को,positive
775,sweet,मीठा,positive
776,sweetheart,मेरे,positive
777,sweetness,मिठास,positive
778,swift,स्विफ्ट,positive
779,talent,प्रतिभा,positive
780,talented,प्रतिभाशाली,positive
781,talents,प्रतिभा,positive
782,tender,टेंडर,positive
783,terrific,बहुत,positive
784,thank,धन्यवाद,positive
785,thankful,कृतज्ञ,positive
786,thoughtful,वैचारिक,positive
787,thoughtfulness,सावधानी,positive
788,thrift,किफायती,positive
789,thrill,रोमांच,positive
790,thrilled,रोमांचित,positive
791,thriving,फलते,positive
792,tickle,गुदगुदी,positive
793,tidy,सुव्यवस्थित,positive
794,timely,समय,positive
795,top,शीर्ष,positive
796,tops,अव्वल,positive
797,tough,कड़ी,positive
798,traction,घर्षण,positive
799,transparent,पारदर्शी,positive
800,treasure,खजाना,positive
801,trendy,ट्रेंडी,positive
802,triumph,ट्राइंफ,positive
803,trophy,ट्रॉफी,positive
804,trust,पर,positive
805,trusted,विश्वसनीय,positive
806,trustworthy,भरोसेमंद,positive
807,truthfully,सच,positive
808,unabashed,आवरणरहति,positive
809,unbeatable,अद्वितीय,positive
810,uncomplicated,सरल,positive
811,unforgettable,अविस्मरणीय,positive
812,unity,एकता,positive
813,unlimited,असीमित,positive
814,unquestionably,मोहरा,positive
815,upgraded,अपग्रेडेड,positive
816,uplift,बनी,positive
817,uplifting,प्रेरक,positive
818,usable,प्रयोग,positive
819,useful,उपयोगी,positive
820,valuable,कीमती,positive
821,variety,किस्म,positive
822,versatile,चलन,positive
823,vibrant,जीवंत,positive
824,victory,जीत,positive
825,viewable,देख,positive
826,virtue,गुण,positive
827,virtuous,गुणी,positive
828,vivid,विशद,positive
829,warm,गर्म,positive
830,warmer,गर्म,positive
831,warmth,गर्माहट,positive
832,wealthy,धनी,positive
833,welcome,आपका,positive
834,well,अच्छी,positive
835,well-being,भलाई,positive
836,willing,हाजिरी,positive
837,win,जीत,positive
838,winner,विजेता,positive
839,winners,विजेताओं,positive
840,winning,विजेता,positive
841,wins,जीत,positive
842,wisdom,ज्ञान,positive
843,wise,बुद्धिमान,positive
844,wisely,बुद्धिमानी,positive
845,witty,मजाकिया,positive
846,won,जीता,positive
847,wonder,आश्चर्य,positive
848,wonderful,अद्भुत,positive
849,wonderfully,का,positive
850,wonders,आश्चर्य,positive
851,woo,वू,positive
852,work,काम,positive
853,worked,काम,positive
854,works,काम,positive
855,worth,लायक,positive
856,worthwhile,सार्थक,positive
857,worthy,लायक,positive
858,wow,वाह,positive
859,wowed,पाम,positive
860,yay,हां,positive
861,youthful,युवा,positive
862,zest,का,positive
863,abnormal,असामान्य,negative
864,aborted,फ्लेशिंग,negative
865,abrasive,संपर्क,negative
866,absence,अनुपस्थिति,negative
867,absentee,अनुपस्थित,negative
868,abuse,दुरुपयोग,negative
869,abused,उत्पीड़न,negative
870,abusive,अपमानजनक,negative
871,accidental,दुर्घटना,negative
872,accusation,आरोप,negative
873,accuse,आरोप,negative
874,ache,में,negative
875,ached,पसीजा,negative
876,aches,का,negative
877,aching,दर्द,negative
878,addict,नशेड़ी,negative
879,addicted,आदी,negative
880,addicting,लत,negative
881,adverse,प्रतिकूल,negative
882,adversity,के,negative
883,afraid,डरना,negative
884,aggression,आक्रामकता,negative
885,aggressive,आक्रामक,negative
886,alarm,अलार्म,negative
887,allergic,एलर्जिक,negative
888,allergies,एलर्जी,negative
889,allergy,एलर्जी,negative
890,aloof,अलग,negative
891,ambiguous,अस्पष्ट,negative
892,anarchy,अराजकता,negative
893,anger,उबाल,negative
894,angry,गुस्सा,negative
895,annoy,परेशान,negative
896,annoyed,नाराज,negative
897,annoying,नखरीली,negative
898,annoys,गुस्सा,negative
899,antagonist,विलन,negative
900,anxiety,चिंता,negative
901,anxious,उत्सुक,negative
902,apocalypse,सर्वनाश,negative
903,arbitrary,मनमाना,negative
904,arrogant,एरोगेंट,negative
905,ashamed,शर्मिंदा,negative
906,assassin,असैसिन,negative
907,assault,हमला,negative
908,atrocities,दुष्कर्म,negative
909,attack,हमला,negative
910,attacks,हमले,negative
911,avalanche,हिमस्खलन,negative
912,averse,के,negative
913,awful,बहुत,negative
914,awkward,अजीब,negative
915,ax,एएक्स,negative
916,backache,पीठदर्द,negative
917,backward,पीछे,negative
918,bad,बुरा,negative
919,badly,बुरी,negative
