,eng,lexicon,hindi
495,efficiently,positive,इनके
498,effusion,positive,बहाव
502,elan,positive,जोश
508,elegance,positive,भव्यता
509,elegant,positive,सुंदर
511,elevate,positive,भा
512,elite,positive,इलीट
518,eminent,positive,प्रख्यात
521,empower,positive,को
522,empowerment,positive,अधिकारिता
525,enchanting,positive,करामाती
527,encourage,positive,प्रोत्साहित
528,encouragement,positive,प्रोत्साहित
529,encouraging,positive,उत्साहजनक
533,endorse,positive,समर्थन
534,endorsed,positive,समर्थित
535,endorsement,positive,परांकन
542,engaging,positive,आकर्षक
544,enhance,positive,को
545,enhanced,positive,संवर्धित
546,enhancement,positive,वृद्धि
547,enhances,positive,रंग
548,enjoy,positive,का
549,enjoyable,positive,आनंददायक
551,enjoyed,positive,मज़ा
552,enjoying,positive,का
553,enjoyment,positive,गुल
556,enlightenment,positive,आत्मज्ञान
559,enough,positive,पर्याप्त
563,enrich,positive,वाले
566,entertain,positive,मनोरंजन
567,entertaining,positive,मनोरंजक
574,enthusiast,positive,उत्साही
575,enthusiastic,positive,उत्साही
577,entice,positive,प्रलोभन
579,enticing,positive,की
586,envious,positive,सम्मोहक
589,envy,positive,ईर्ष्या
594,ethical,positive,नैतिक
602,everlasting,positive,सदाबहार
613,exceed,positive,पार
614,exceeded,positive,पार
615,exceeding,positive,से
617,exceeds,positive,से
618,excel,positive,एक्सेल
623,excellence,positive,श्रेष्ठता
625,excellent,positive,उत्कृष्ट
626,excellently,positive,विशेष
628,exceptional,positive,असाधारण
629,exceptionally,positive,विशि‍ष्ट
631,excited,positive,उत्तेजित
634,excitement,positive,रोमांच
636,exciting,positive,रोमांचक
649,exquisite,positive,उत्कृष्ट
654,extraordinary,positive,असाधारण
663,eye-catching,positive,मनमोहक
666,fabulous,positive,शानदार
669,fair,positive,मेला
670,fairly,positive,काफी
671,fairness,positive,निष्पक्षता
672,faith,positive,विश्वास
673,faithful,positive,वफादार
674,faithfully,positive,विश्वासपात्र
676,fame,positive,फेम
678,famous,positive,प्रसिद्ध
680,fancier,positive,अधिक
682,fancy,positive,फैंसी
684,fans,positive,प्रशंसकों
685,fantastic,positive,शानदार
687,fascinate,positive,मोहित
688,fascinating,positive,दिलचस्प
691,fashionable,positive,फैशनेबल
693,fast,positive,तेज
696,faster,positive,तेज
697,fastest,positive,तेज
700,fav,positive,मनपसंद
701,fave,positive,पक्ष
702,favor,positive,अहसान
703,favorable,positive,अनुकूल
705,favorite,positive,पसंदीदा
707,favour,positive,पक्ष
708,fearless,positive,दंबगों
712,feat,positive,फीट
715,feisty,positive,साहसी
719,fertile,positive,फ़र्टाइल
725,festive,positive,जलवा
726,fidelity,positive,निष्ठा
727,fiery,positive,तेजस्वी
728,fine,positive,ठीक
730,finely,positive,से
731,finer,positive,बेहतर
732,finest,positive,बेहतरीन
739,flattering,positive,प्रशंसनीय
741,flawless,positive,फ्लॉलेस
743,flexibility,positive,लचीलेपन
744,flexible,positive,लचीला
747,fluent,positive,निपुण
748,flutter,positive,स्पंदन
749,fond,positive,शौकीन
753,foremost,positive,महत्वपूर्ण
759,fortunate,positive,भाग्यशाली
760,fortunately,positive,सौभाग्य
761,fortune,positive,भाग्य
763,free,positive,नि
765,freedom,positive,स्वतंत्रता
767,fresh,positive,ताजा
771,friendly,positive,अनुकूल
776,fulfillment,positive,पूर्ति
777,fun,positive,मजेदार
779,futuristic,positive,भविष्यउन्मुखी
782,gain,positive,बढ़ना
783,gained,positive,कर
787,gains,positive,मजबूत
790,galore,positive,प्रचुर
793,gem,positive,रत्न
794,gems,positive,रत्न
796,generous,positive,उदार
799,genius,positive,प्रतिभा
800,gentle,positive,जेंटल
802,genuine,positive,असली
803,gifted,positive,प्रतिभाशाली
804,glad,positive,खुशी
808,glamorous,positive,आपके
816,glitter,positive,चमकीली
817,glitz,positive,तड़क
818,glorify,positive,को
821,glory,positive,ग्लोरी
822,glow,positive,चमक
823,glowing,positive,चमकना
828,godsend,positive,का
829,gold,positive,सोना
830,golden,positive,गोल्डन
831,good,positive,अच्छा
833,goodness,positive,अच्छाई
837,gorgeous,positive,खूबसूरत
839,grace,positive,ग्रेस
840,graceful,positive,गरीमामय
842,gracious,positive,विनीत
845,grand,positive,ग्रैंड
847,grateful,positive,आभारी
853,gratifying,positive,संतुष्टिदायक
855,gratitude,positive,नम
856,great,positive,महान
857,greatest,positive,महान
858,greatness,positive,महानता
859,grin,positive,मुसकुराहट
860,groundbreaking,positive,अभूतपूर्व
861,guarantee,positive,गारंटी
862,guidance,positive,मार्गदर्शन
866,gusto,positive,जोश
868,hail,positive,जय
871,hallmark,positive,प्रमाण
877,handsome,positive,सुंदर
879,handy,positive,सुलभ
880,happier,positive,खुश
881,happily,positive,खुशी
882,happiness,positive,खुशी
883,happy,positive,खुश
886,hardy,positive,पीछे
887,harmless,positive,हानिरहित
891,harmony,positive,मेल
893,heal,positive,चंगा
895,healthy,positive,स्वस्थ
900,heartwarming,positive,दिली
901,heaven,positive,स्वर्ग
902,heavenly,positive,अलौकिक
903,helped,positive,कुछ
904,helpful,positive,सहायक
905,helping,positive,मदद
906,hero,positive,हीरो
909,heroine,positive,हीरोइन
914,hilarious,positive,प्रफुल्लित
915,holy,positive,पवित्र
916,homage,positive,जलसा
917,honest,positive,ईमानदार
918,honesty,positive,ईमानदारी
919,honor,positive,सम्मान
920,honorable,positive,सम्मानित
921,honored,positive,सम्मानित
923,hooray,positive,हुर्रे
924,hopeful,positive,अच्छा
926,hot,positive,गर्म
929,hottest,positive,हॉटैस्ट
930,hug,positive,आलिंगन
931,humane,positive,मानव
932,humble,positive,विनम्र
934,humor,positive,हास्य
939,ideal,positive,आदर्श
941,ideally,positive,आदर्श
942,idol,positive,आइडल
953,imaginative,positive,इमेजनेटिव
954,immaculate,positive,त्रुटिहीन
956,immense,positive,विशाल
963,important,positive,महत्वपूर्ण
964,impress,positive,प्रभावित
965,impressed,positive,प्रभावित
967,impressive,positive,प्रभावशील
970,improve,positive,में
971,improved,positive,सुधार
972,improvement,positive,सुधार
973,improvements,positive,सुधार
974,improves,positive,शारीरिक
976,incredible,positive,अविश्वसनीय
977,incredibly,positive,अविश्वसनीय
985,inexpensive,positive,सस्ती
987,infallible,positive,अचूक
989,influential,positive,प्रभावशाली
996,innovation,positive,नवाचार
997,innovative,positive,नवीन
999,insightful,positive,पुरे
1001,inspiration,positive,प्रेरणा
1002,inspirational,positive,प्रेरणादायक
1003,inspire,positive,प्रेरित
1004,inspiring,positive,प्रेरक
1005,instantly,positive,तुरन्त
1008,integral,positive,एकीकृत
1009,integrated,positive,एकीकृत
1010,intelligence,positive,बुद्धि
1011,intelligent,positive,बुद्धिमान
1013,interesting,positive,दिलचस्प
1014,interests,positive,हितों
1015,intimacy,positive,अंतरंगता
1016,intimate,positive,इंटीमेट
1017,intricate,positive,बारीक
1019,intriguing,positive,पेचीदा
1021,intuitive,positive,मज़ेदार
1028,invincible,positive,अजेय
1034,irresistible,positive,प्रबल
1040,jolly,positive,जॉली
1042,joy,positive,आनन्द
1054,keen,positive,उतावला
1059,kindly,positive,कृपया
1060,kindness,positive,दया
1061,knowledgeable,positive,ज्ञान
1062,kudos,positive,तारीफ
1070,lawful,positive,विधिमान्य
1072,lead,positive,नेतृत्व
1073,leading,positive,प्रमुख
1074,leads,positive,आगे
1075,lean,positive,दुबला
1076,led,positive,श्रेष्ठ
1077,legendary,positive,पौराणिक
1078,leverage,positive,लाभ
1080,liberate,positive,पाप
1082,liberty,positive,लिबर्टी
1085,lighter,positive,हल्का
1087,like,positive,की
1088,liked,positive,पसंद
1089,likes,positive,पसंद
1090,liking,positive,पसंद
1092,lively,positive,जीवंत
1093,logical,positive,तार्किक
1097,love,positive,प्यार
1098,loved,positive,प्यार
1100,lovely,positive,प्यारा
1101,lover,positive,प्रेमी
1102,loves,positive,प्यार
1103,loving,positive,प्यार
1109,loyal,positive,वफादार
1110,loyalty,positive,वफादारी
1111,lucid,positive,स्पष्ट
1113,luck,positive,भाग्य
1117,lucky,positive,भाग्यशाली
1119,luminous,positive,चमकदार
1120,lush,positive,रसीला
1121,luster,positive,आभा
1127,luxury,positive,लग्ज़री
1129,magic,positive,जादू
1130,magical,positive,जादुई
1134,magnificent,positive,शानदार
1136,majestic,positive,आलीशान
1140,marvel,positive,अचंभा
1143,marvellous,positive,अद्भुत
1144,marvelous,positive,लजीज
1148,master,positive,मास्टर
1151,masterpiece,positive,मास्टरपीस
1153,masters,positive,स्वामी
1156,mature,positive,परिपक्व
1158,maturity,positive,परिपक्वता
1160,memorable,positive,यादगार
1161,merciful,positive,दयालु
1163,mercy,positive,दया
1164,merit,positive,शिक्षक
1169,merry,positive,मैरी
1173,mesmerizing,positive,मन
1175,meticulous,positive,सूक्ष्म
1178,mighty,positive,पराक्रमी
1179,mind-blowing,positive,जो
1180,miracle,positive,चमत्कार
1181,miracles,positive,चमत्कारों
1182,miraculous,positive,तिलस्मी
1185,modern,positive,आधुनिक
1187,modesty,positive,इस
1189,monumental,positive,यादगार
1191,morality,positive,नैतिकता
1192,motivated,positive,प्रेरित
1195,neat,positive,साफ
1197,neatly,positive,अच्छे
1198,nice,positive,अच्छा
1199,nicely,positive,अच्छी
1204,noble,positive,नोबल
1210,noteworthy,positive,उल्लेखनीय
1216,oasis,positive,ओएसिस
1217,obsession,positive,जूनून
1220,openly,positive,का
1222,optimal,positive,इष्टतम
1223,optimism,positive,आशावाद
1224,optimistic,positive,आशावादी
1226,orderly,positive,व्यवस्थित
1229,outdone,positive,ने
1230,outperform,positive,सोकर
1237,outstanding,positive,बकाया
1241,ovation,positive,ओवेशन
1250,painless,positive,दर्दरहित
1259,paradise,positive,स्वर्ग
1261,pardon,positive,माफी
1262,passion,positive,जुनून
1263,passionate,positive,जुनूनी
1265,patience,positive,धैर्य
1266,patient,positive,रोगी
1268,patriot,positive,देशभक्ति
1270,peace,positive,शांति
1272,peaceful,positive,शांतिपूर्ण
1275,peach,positive,आड़ू
1277,pep,positive,उत्साहवर्धक
1280,peppy,positive,जोशीले
1282,perfect,positive,सही
1283,perfection,positive,से
1284,perfectly,positive,सही
1289,personalized,positive,निजीकृत
1290,phenomenal,positive,अद्भुत
1293,piety,positive,पुण्यशीलता
1295,playful,positive,चंचल
1297,pleasant,positive,सुखद
1298,pleasantly,positive,सुख
1299,pleased,positive,खुश
1305,pleasure,positive,खुशी
1308,plush,positive,हमेशा
1313,poise,positive,संतुलन
1315,polished,positive,पॉलिश्ड
1316,polite,positive,विनम्र
1318,popular,positive,लोकप्रिय
1319,portable,positive,पोर्टेबल
1320,posh,positive,बढि़या
1321,positive,positive,सकारात्मक
1322,positively,positive,सकारात्मक
1324,powerful,positive,शक्तिशाली
1326,praise,positive,आरती
1330,precious,positive,कीमती
1331,precise,positive,सटीक
1332,precisely,positive,ठीक
1334,prefer,positive,क्या
1335,preferable,positive,बेहतर
1340,prefers,positive,हम
1341,premier,positive,प्रीमियर
1343,prestigious,positive,प्रतिष्ठित
1345,pretty,positive,सुंदर
1346,priceless,positive,अमूल्य
1347,pride,positive,गर्व
1349,privilege,positive,सौभाग्य
1351,prize,positive,पुरस्कार
1358,productive,positive,उत्पादक
1360,proficient,positive,कुशल
1363,profoundly,positive,पूरी
1366,progress,positive,प्रगति
1367,progressive,positive,प्रगतिशील
1370,prominent,positive,प्रमुख
1371,promise,positive,वादा
1372,promised,positive,वादा
1373,promises,positive,वादे
1375,promoter,positive,प्रमोटर
1376,prompt,positive,त्वरित
1377,promptly,positive,तुरंत
1378,proper,positive,उचित
1379,properly,positive,सही
1382,pros,positive,प्रॉस
1383,prosper,positive,समृद्ध
1384,prosperity,positive,समृद्धि
1385,prosperous,positive,खुशहाल
1387,protect,positive,रक्षा
1388,protection,positive,सुरक्षा
1389,protective,positive,सुरक्षात्मक
1390,proud,positive,गर्व
1391,proven,positive,सिद्ध
1392,proves,positive,साबित
1399,punctual,positive,पाबंदी
1400,pure,positive,शुद्ध
1404,qualified,positive,सुयोग्य
1405,qualify,positive,अर्हता
1407,quiet,positive,शांत
1409,radiance,positive,लाता
1410,radiant,positive,चमकीला
1411,rapid,positive,तेज
1419,rational,positive,तर्कसंगत
1422,readable,positive,पठनीय
1423,readily,positive,आसानी
1424,ready,positive,तैयार
1427,realistic,positive,वास्तविक
1429,reasonable,positive,उचित
1430,reasonably,positive,उचित
1435,reclaim,positive,प्राप्ति
1436,recomend,positive,सुझाव
1437,recommend,positive,सिफारिश
1438,recommendation,positive,सिफारिश
1439,recommendations,positive,सुझाव
1440,recommended,positive,अनुशंसित
1441,reconcile,positive,सामंजस्य
1442,reconciliation,positive,सुलह
1444,recover,positive,लगे
1445,recovery,positive,रिकवरी
1447,rectify,positive,सुधारने
1448,rectifying,positive,का
1449,redeem,positive,रीडीम
1451,redemption,positive,मुक्ति
1452,refine,positive,परिष्कृत
1455,reform,positive,सुधार
1458,reforms,positive,सुधार
1459,refresh,positive,ताजा
1460,refreshed,positive,रिफ्रेश
1461,refreshing,positive,ताज़ी
1462,refund,positive,वापसी
1463,refunded,positive,वापिस
1464,regal,positive,राजसी
1466,regard,positive,संबंध
1471,rejuvenated,positive,जोशपूर्ण
1473,relaxed,positive,आराम
1475,reliable,positive,विश्वसनीय
1477,relief,positive,राहत
1479,remarkable,positive,उल्लेखनीय
1481,remedy,positive,उपाय
1484,renaissance,positive,अ
1487,renowned,positive,प्रसिद्ध
1488,replaceable,positive,बदले
1490,reputation,positive,प्रतिष्ठा
1497,respect,positive,सम्मान
1499,respectful,positive,सम्मानित
1503,responsibly,positive,जिम्मेदारी
1504,responsive,positive,जवाबदेह
1506,restored,positive,सुधारा
1509,restructuring,positive,पुनर्गठन
1511,revel,positive,आनंद
1512,revelation,positive,रहस्योद्घाटन
1518,revival,positive,पुनरुद्धार
1519,revive,positive,पुनर्जीवित
1521,revolutionary,positive,क्रांतिकारी
1525,reward,positive,इनाम
1526,rewarding,positive,पुण्यमय
1528,rich,positive,अमीर
1531,richness,positive,होंगी
1532,right,positive,सही
1536,righteousness,positive,लक्ष्य
1538,rightfully,positive,सही
1542,robust,positive,मजबूत
1545,rockstar,positive,रॉकस्टार
1547,romantic,positive,रोमांटिक
1553,safe,positive,सुरक्षित
1554,safely,positive,सुरक्षित
1557,saint,positive,संत
1561,salute,positive,सलाम
1562,sane,positive,मत
1564,satisfactory,positive,संतोषजनक
1565,satisfied,positive,संतुष्ट
1566,satisfies,positive,अपनी
1568,satisfying,positive,संतोषजनक
1570,saver,positive,सेवर
1571,savings,positive,बचत
1572,savior,positive,उद्धारकर्ता
1573,savvy,positive,आज
1574,scenic,positive,सुंदर
1575,seamless,positive,अखंड
1577,secure,positive,सुरक्षित
1578,securely,positive,सुरक्षित
1579,selective,positive,चयनात्मक
1585,sensation,positive,सनसनी
1586,sensational,positive,सनसनीखेज
1589,sensible,positive,समझदार
1591,sensitive,positive,संवेदनशील
1594,sexy,positive,सेक्सी
1595,sharp,positive,कोना
1596,sharper,positive,के
1600,shine,positive,चमक
1601,shiny,positive,चमकीले
1602,significant,positive,महत्वपूर्ण
1603,silent,positive,मौन
1604,simpler,positive,सरल
1605,simplest,positive,सरल
1606,simplified,positive,सरलीकृत
1607,simplifies,positive,को
1610,sincere,positive,हार्दिक
1611,sincerely,positive,दिल
1613,skill,positive,कौशल
1614,skilled,positive,कुशल
1618,sleek,positive,संकरे
1619,slick,positive,स्लिक
1620,smart,positive,स्मार्ट
1621,smarter,positive,ज्यादा
1623,smartly,positive,सुंदर
1624,smile,positive,मुस्कुराओ
1625,smiles,positive,मुस्कराती
1626,smiling,positive,मुस्कुराते
1629,smooth,positive,चिकना
1633,smoothly,positive,सुचारु
1637,soft,positive,नरम
1639,solace,positive,सोलेस
1642,solid,positive,ठोस
1644,soothe,positive,को
1646,sophisticated,positive,सोफिस्टिकेटिड
1650,spacious,positive,बहुत
1651,sparkle,positive,द्वारा
1652,sparkling,positive,स्पार्कलिंग
1653,spectacular,positive,शानदार
1656,speedy,positive,तेज
1662,spiritual,positive,आध्यात्मिक
1666,spontaneous,positive,सहज
1667,sporty,positive,स्पोरटी
1670,stability,positive,स्थिरता
1671,stabilize,positive,स्थिर
1672,stable,positive,स्थिर
1673,stainless,positive,स्टेनलेस
1676,stately,positive,आलीशान
1681,steadfast,positive,स्टेडफास्ट
1686,steady,positive,स्थिर
1687,stellar,positive,तारकीय
1697,striking,positive,आकर्षक
1699,striving,positive,प्रयास
1700,strong,positive,मजबूत
1701,stronger,positive,मजबूत
1702,strongest,positive,सबसे
1703,stunned,positive,दंग
1704,stunning,positive,आश्चर्यजनक
1705,stunningly,positive,के
1709,sturdy,positive,मज़बूत
1710,stylish,positive,स्टाइलिश
1713,suave,positive,वाले
1715,sublime,positive,का
1721,succeed,positive,सफल
1722,succeeded,positive,सफल
1725,succes,positive,सफलता
1726,success,positive,सफलता
1728,successful,positive,सफल
1729,successfully,positive,सफलतापूर्वक
1733,sufficient,positive,पर्याप्त
1734,sufficiently,positive,पर्याप्त
1735,suitable,positive,उपयुक्त
1739,super,positive,सुपर
1740,superb,positive,शानदार
1742,superior,positive,बेहतर
1744,supple,positive,नाजुक
1745,support,positive,समर्थन
1746,supported,positive,समर्थित
1747,supporter,positive,सपोर्टर
1748,supporting,positive,समर्थन
1749,supportive,positive,सहयोगी
1750,supports,positive,का
1751,supremacy,positive,वर्चस्व
1752,supreme,positive,सर्वोच्च
1759,survival,positive,बचना
1760,survivor,positive,उत्तरजीवी
1761,sustainability,positive,स्थिरता
1762,sustainable,positive,सतत
1766,swanky,positive,शानदार
1767,sweeping,positive,को
1768,sweet,positive,मीठा
1770,sweetheart,positive,मेरे
1772,sweetness,positive,मिठास
1773,swift,positive,स्विफ्ट
1775,talent,positive,प्रतिभा
1776,talented,positive,प्रतिभाशाली
1777,talents,positive,प्रतिभा
1787,tender,positive,टेंडर
1789,terrific,positive,बहुत
1791,thank,positive,धन्यवाद
1792,thankful,positive,कृतज्ञ
1794,thoughtful,positive,वैचारिक
1796,thoughtfulness,positive,सावधानी
1797,thrift,positive,किफायती
1799,thrill,positive,रोमांच
1800,thrilled,positive,रोमांचित
1805,thriving,positive,फलते
1808,tickle,positive,गुदगुदी
1809,tidy,positive,सुव्यवस्थित
1811,timely,positive,समय
1819,top,positive,शीर्ष
1823,tops,positive,अव्वल
1824,tough,positive,कड़ी
1827,traction,positive,घर्षण
1830,transparent,positive,पारदर्शी
1831,treasure,positive,खजाना
1833,trendy,positive,ट्रेंडी
1834,triumph,positive,ट्राइंफ
1839,trophy,positive,ट्रॉफी
1843,trust,positive,पर
1844,trusted,positive,विश्वसनीय
1848,trustworthy,positive,भरोसेमंद
1851,truthfully,positive,सच
1855,unabashed,positive,आवरणरहति
1859,unbeatable,positive,अद्वितीय
1862,uncomplicated,positive,सरल
1875,unforgettable,positive,अविस्मरणीय
1876,unity,positive,एकता
1877,unlimited,positive,असीमित
1881,unquestionably,positive,मोहरा
1890,upgraded,positive,अपग्रेडेड
1893,uplift,positive,बनी
1894,uplifting,positive,प्रेरक
1898,usable,positive,प्रयोग
1900,useful,positive,उपयोगी
1906,valuable,positive,कीमती
1907,variety,positive,किस्म
1911,versatile,positive,चलन
1913,vibrant,positive,जीवंत
1916,victory,positive,जीत
1917,viewable,positive,देख
1920,virtue,positive,गुण
1921,virtuous,positive,गुणी
1925,vivid,positive,विशद
1928,warm,positive,गर्म
1929,warmer,positive,गर्म
1932,warmth,positive,गर्माहट
1933,wealthy,positive,धनी
1934,welcome,positive,आपका
1935,well,positive,अच्छी
1939,well-being,positive,भलाई
1963,willing,positive,हाजिरी
1966,win,positive,जीत
1969,winner,positive,विजेता
1970,winners,positive,विजेताओं
1971,winning,positive,विजेता
1972,wins,positive,जीत
1973,wisdom,positive,ज्ञान
1974,wise,positive,बुद्धिमान
1975,wisely,positive,बुद्धिमानी
1976,witty,positive,मजाकिया
1977,won,positive,जीता
1978,wonder,positive,आश्चर्य
1979,wonderful,positive,अद्भुत
1980,wonderfully,positive,का
1983,wonders,positive,आश्चर्य
1985,woo,positive,वू
1986,work,positive,काम
1988,worked,positive,काम
1989,works,positive,काम
1991,worth,positive,लायक
1994,worthwhile,positive,सार्थक
1995,worthy,positive,लायक
1996,wow,positive,वाह
1997,wowed,positive,पाम
2000,yay,positive,हां
2001,youthful,positive,युवा
2004,zest,positive,का
2008,abnormal,negative,असामान्य
2015,aborted,negative,फ्लेशिंग
2018,abrasive,negative,संपर्क
2022,absence,negative,अनुपस्थिति
2024,absentee,negative,अनुपस्थित
2029,abuse,negative,दुरुपयोग
2030,abused,negative,उत्पीड़न
2032,abusive,negative,अपमानजनक
2036,accidental,negative,दुर्घटना
2039,accusation,negative,आरोप
2041,accuse,negative,आरोप
2048,ache,negative,में
2049,ached,negative,पसीजा
2050,aches,negative,का
2052,aching,negative,दर्द
2061,addict,negative,नशेड़ी
2062,addicted,negative,आदी
2063,addicting,negative,लत
2076,adverse,negative,प्रतिकूल
2077,adversity,negative,के
2082,afraid,negative,डरना
2086,aggression,negative,आक्रामकता
2087,aggressive,negative,आक्रामक
2104,alarm,negative,अलार्म
2114,allergic,negative,एलर्जिक
2115,allergies,negative,एलर्जी
2116,allergy,negative,एलर्जी
